Ingredient_Name,CAS_Numbers,Limit_Cat4
Pseudo methylionones,26651-96-7|72968-25-3|1117-41-5,100.0
Quinoline,91-22-5,0.0
"Safrole, Isosafrole and Dihydrosafrole",94-59-7|120-58-1|94-58-6,100.0
Santolina oil,84961-58-0,0.0
Savin oil,Prohibition of Savin oil:|8024-00-8|90046-04-1|Specification of Savin oil:|68916-94-9|90046-03-0,100.0
Toluene,108-88-3,100.0
Sclareol,515-03-7,100.0
Pinacea derivatives,Not applicable.,100.0
Nootkatone,4674-50-4,100.0
Limonene,138-86-3|7705-14-8|5989-27-5|5989-54-8,100.0
Linalool,78-70-6|126-90-9|126-91-0,100.0
Allyl esters,Not applicable.,100.0
Musk ketone,81-14-1,100.0
Propenylguaethol,94-86-0|63477-41-8,0.99
2-Methoxy-4-propylphenol,2785-87-7,0.73
alpha-Bisabolol,515-69-5|23089-26-1|23178-88-3|78148-59-1|76738-75-5|72691-24-8,2.4
p-Tolyl alcohol,589-18-4,1.5
p-Isopropylbenzyl alcohol,536-60-7,2.5
"2,6,10-Trimethylundeca-5,9-dien-1-ol",24048-14-4|185019-19-6|58001-88-0|58001-87-9|1373932-23-0|1018832-07-9,1.2
Cedrene,11028-42-5|469-61-4|546-28-1,1.5
4-Phenyl-3-buten-2-ol,17488-65-2,1.2
Longifolene,475-20-7|16846-09-6|19067-29-9,1.5
"4-Hydroxy-2,5-dimethyl-3(2H)-furanone",3658-77-3,0.25
Farnesal,19317-11-4,0.6
"3,7-Dimethyl-2,6-nonadien-1-al",41448-29-7,0.6
"5,9-Dimethyl-4,8-decadienal",762-26-5,3.0
"3,7-Dimethyl-3,6-octadienal",55722-59-3|1754-00-3|72203-98-6|72203-97-5,3.0
Citronellal,106-23-0|5949-05-3,0.49
"4,8-Dimethyl-4,9-decadienal",71077-31-1,0.24
"cis,trans-4-(Isopropyl)cyclohexanemethanol",5502-75-0|13828-37-0|13674-19-6,4.7
4-(Isopropyl)-.beta.-methylcyclohexanethanol,67634-03-1,6.4
"Cyclohexanemethanol, 2,4-dimethyl-",68480-15-9,0.0013
"3,3-Dimethyl-5-(2,2,3-trimethyl-3-cyclopenten-1-yl)-4-penten-2-ol",107898-54-4,1.1
"5-(2,2,3-Trimethyl-3-cyclopentenyl)-3-methylpentan-2-ol",65113-99-7,1.2
"alpha,2,2,3-Tetramethylcyclopent-3-ene-1-butyraldehyde",65114-03-6,0.21
Isobutyl N-methylanthranylate,65505-24-0,100.0
p-Methyltetrahydroquinoline,91-61-2,100.0
"1,2,3,4-Tetrahydro-4-methylquinoline",19343-78-3,100.0
4-(4-Hydroxyphenyl)butan-2-one,5471-51-2,1.0
Mintlactone,13341-72-5|38049-04-6,0.0
Ethyl isopropyl bicycloheptene-2-carboxylate,116044-44-1|116126-82-0,0.94
Tetramethyl bicyclo-2-heptene-2-propionaldehyde,33885-52-8,1.3
"1-(2,2,6-Trimethylcyclohexyl)-3-hexanol",70788-30-6,1.3
1-(2-tert.-Butyl cyclohexyloxy)-2-butanol,139504-68-0,1.3
"3,6,7-Trimethyl-2,6-octadienal",1891-67-4,0.6
"2,4,4,7-Tetramethyl-6-octen-3-one",74338-72-0,1.9
2-Cyclohexylidene-2-ortho-tolylacetonitrile,916887-53-1,0.52
Ethyl and Methyl furaneol,27538-09-6|27538-10-9,0.25
2-Hexylidenecyclohexan-1-one,16429-07-5,0.13
2-Methyl-2-pentenal,623-36-9,0.0077
2-Octen-4-one,4643-27-0,0.047
Methyl lavender ketone,67801-33-6|67633-95-8,0.082
"3,4,5,6,6-Pentamethylhept-3-en-2-one",81786-75-6|81786-73-4|86115-11-9|81786-74-5,1.9
3-Methyl-5-phenylpent-2-enenitrile,93893-89-1|53243-59-7|53243-60-0,0.12
3-Octen-2-one,1669-44-9,0.047
Dimethyl octenone,2550-11-0,1.9
Isopentylcyclohexanone,16587-71-6,0.15
Woody furan,338735-71-0|351343-77-6,0.94
Allyl 3-cyclohexylpropionate,2705-87-5,0.47
alpha-Amylcinnamicaldehyde diethyl acetal,60763-41-9,0.35
alpha-Amylcinnamicaldehyde dimethyl acetal,91-87-2,0.35
alpha-Cyclohexylidene benzeneacetonitrile,10461-98-0,0.52
5-Hexen-1-yl 2-methylbutanoate,155514-23-1,0.64
Carvyl acetate,97-42-7|1205-42-1|1134-95-8,0.24
cis-3-Heptenyl acetate,1576-78-9,0.43
cis-3-Hexenyl isovalerate,35154-45-1,0.43
cis-3-Hexenyl methyl carbonate,67633-96-9,0.56
cis-3-Nonenyl acetate,13049-88-2,0.43
Citronellyl acetate,150-84-5|67601-05-2|141-11-7,2.7
Cyclohexadecanone,2550-52-9,4.3
Cyclohexadecenone,88642-03-9|5365-06-0|2550-59-6|3100-36-5|5120-20-7|854373-71-0|854373-70-9,4.3
"1-(2,2,6-Trimethylcyclohexyl)-3-pentanol",60241-52-3|60241-53-4,1.3
(Ethoxymethoxy)-cyclododecane,58567-11-6,1.5
