Natural_Name,Constituent_Name,Constituent_CAS,Percentage
Schinus molle oil,Farnesol,4602-84-0,0.03
Schinus molle oil,Geraniol,106-24-1,0.1
Deertongue leaf absolute,Coumarin,91-64-5,25.0
Deertongue leaf absolute,Dihydrocoumarin,119-84-6,2.0
Flouve absolute,Coumarin,91-64-5,2.0
Hay absolute,Coumarin,91-64-5,8.0
Osmanthus absolute,Coumarin,91-64-5,0.02
Osmanthus absolute,Eugenol,97-53-0,0.07
Osmanthus absolute,Geraniol,106-24-1,1.2
Osmanthus concrete,Coumarin,91-64-5,0.02
Osmanthus concrete,Eugenol,97-53-0,0.06
Osmanthus concrete,Geraniol,106-24-1,1.2
Tonka Bean absolute,Coumarin,91-64-5,56.77
Tonka Bean absolute,Dihydrocoumarin,119-84-6,1.85
"Pine tar oil, rectified",Cresol (unspecified),1319-77-3,0.68
Cumin seed oil,Cuminaldehyde,122-03-2,21.0
Cumin seed oil,p-Isopropylbenzyl alcohol,536-60-7,0.2
Angelica root oil,Cyclopentadecanolide/omega-Pentadecalatone,106-02-5,1.6
Galbanum oil,Cyclopentadecanolide/omega-Pentadecalatone,106-02-5,0.1
Caraway seed oil,d-Carvone,2244-16-8,59.0
Caraway seed oil,Perilla aldehyde,2111-75-3,0.1
Celery seed oil,d-Carvone,2244-16-8,0.2
Celery seed oleoresin,d-Carvone,2244-16-8,0.1
Dill seed oil,d-Carvone,2244-16-8,51.0
Dill weed oil,d-Carvone,2244-16-8,31.5
Savory winter oil,d-Carvone,2244-16-8,0.85
Savory winter oil,Eugenol,97-53-0,3.32
Savory winter oil,Geraniol,106-24-1,0.33
Savory winter oil,Methyl eugenol,93-15-2,0.13
Hibawood oil,dl-Citronellol,106-22-9,0.38
Lime oil distilled,dl-Citronellol,106-22-9,0.01
Lime oil distilled,Geranial,141-27-5,0.32
Lime oil distilled,Geraniol,106-24-1,0.02
Lime oil distilled,Neral,106-26-3,0.26
Lime oil distilled,trans-trans-Farnesol,106-28-5,0.02
"Marjoram oil, Spanish",dl-Citronellol,106-22-9,0.09
"Marjoram oil, Spanish",Geranial,141-27-5,0.1
"Marjoram oil, Spanish",Geraniol,106-24-1,0.13
"Marjoram oil, Spanish",Neral,106-26-3,0.07
"Pine, Pinus pumila, extract",dl-Citronellol,106-22-9,0.1
"Pine, Pinus pumila, extract",Longifolene,475-20-7,0.1
"Spruce oil, White",dl-Citronellol,106-22-9,0.28
"Spruce oil, White",Longifolene,475-20-7,0.22
"Thyme oil, red",dl-Citronellol,106-22-9,0.02
"Thyme oil, red",Eugenol,97-53-0,0.12
"Thyme oil, red",Geranial,141-27-5,0.1
"Thyme oil, red",Geraniol,106-24-1,0.06
"Thyme oil, red",Methyl eugenol,93-15-2,0.01
"Thyme oil, red",Neral,106-26-3,0.06
"Basil oil, chemotype estragole",Estragole,140-67-0,81.87
"Basil oil, chemotype estragole",Eugenol,97-53-0,0.34
"Basil oil, chemotype estragole",Geranial,141-27-5,0.07
"Basil oil, chemotype estragole",l-Carvone,6485-40-1,0.49
"Basil oil, chemotype estragole",Methyl eugenol,93-15-2,0.39
"Basil oil, chemotype estragole",Neral,106-26-3,0.02
"Basil oil, chemotype estragole",p-Methoxybenzaldehyde,123-11-5,0.1
"Basil oleoresin, chemotype estragole",Estragole,140-67-0,34.0
"Basil oleoresin, chemotype estragole",Eugenol,97-53-0,0.2
"Basil oleoresin, chemotype estragole",Methyl eugenol,93-15-2,0.2
"Fennel oil, bitter, phellandrene type",Estragole,140-67-0,4.7
"Fennel oil, bitter, phellandrene type",p-Methoxybenzaldehyde,123-11-5,0.2
"Fennel oil, bitter,anethole type",Estragole,140-67-0,2.1
"Fennel oil, bitter,anethole type",p-Methoxybenzaldehyde,123-11-5,0.3
"Fennel oil, sweet",Estragole,140-67-0,2.32
"Fennel oil, sweet",p-Methoxybenzaldehyde,123-11-5,0.47
"Fir needle oil, Canadian",Estragole,140-67-0,0.04
"Fir needle oil, Canadian",Longifolene,475-20-7,0.22
Myrtle oil,Estragole,140-67-0,0.1
Myrtle oil,Geraniol,106-24-1,0.4
Myrtle oil,l-Carvone,6485-40-1,0.2
Myrtle oil,Methyl eugenol,93-15-2,1.0
Ravensara aromatica oil,Estragole,140-67-0,8.0
Ravensara aromatica oil,Safrole,94-59-7,0.03
Allspice oil,Eugenol,97-53-0,69.0
Allspice oil,Methyl eugenol,93-15-2,8.5
Allspice oleoresin,Eugenol,97-53-0,41.4
Allspice oleoresin,Methyl eugenol,93-15-2,5.1
Cascarilla bark oil,Eugenol,97-53-0,0.4
Clove bud oil,Eugenol,97-53-0,82.0
Clove bud oil,Methyl eugenol,93-15-2,0.1
Clove leaf oil,Eugenol,97-53-0,85.3
Clove leaf oil,Isoeugenol,97-54-1,0.1
Clove leaf oil,Methyl eugenol,93-15-2,0.1
Clove stem oil,Eugenol,97-53-0,88.0
Clove stem oil,Methyl eugenol,93-15-2,0.06
Mace oil,Eugenol,97-53-0,0.7
Mace oil,Methyl eugenol,93-15-2,1.2
Mace oil,Safrole,94-59-7,1.7
Mace oleoresin,Eugenol,97-53-0,0.4
Mace oleoresin,Methyl eugenol,93-15-2,0.6
Mace oleoresin,Safrole,94-59-7,1.6
Nutmeg oleoresin,Eugenol,97-53-0,0.1
Nutmeg oleoresin,Methyl eugenol,93-15-2,0.6
Nutmeg oleoresin,Safrole,94-59-7,1.0
Ocatea cymbarum oil,Eugenol,97-53-0,0.36
Ocatea cymbarum oil,Methyl eugenol,93-15-2,0.3
Ocatea cymbarum oil,Safrole,94-59-7,92.0
Pimenta leaf oil,Eugenol,97-53-0,83.0
Pimenta leaf oil,Methyl eugenol,93-15-2,6.0
"Pine Scotch, resinoid",Eugenol,97-53-0,0.02
"Pine Scotch, resinoid",Isoeugenol,97-54-1,0.01
"Pine Scotch, resinoid",l-Carvone,6485-40-1,0.001
Sassafras bark oil,Eugenol,97-53-0,0.36
Sassafras bark oil,Methyl eugenol,93-15-2,0.3
Sassafras bark oil,Safrole,94-59-7,92.0
Snakeroot oil,Eugenol,97-53-0,1.0
Snakeroot oil,Geraniol,106-24-1,1.0
Snakeroot oil,Methyl eugenol,93-15-2,40.0
"Thyme oil, white",Eugenol,97-53-0,0.1
"Thyme oil, white",Geraniol,106-24-1,0.1
"Thyme oil, white",Methyl eugenol,93-15-2,0.03
Ambrette seed absolute,Farnesal,19317-11-4,0.5
Ambrette seed absolute,Farnesol,4602-84-0,5.0
Ambrette seed oil,Farnesal,19317-11-4,0.2
Ambrette seed oil,Farnesol,4602-84-0,3.0
Ambrette tincture,Farnesol,4602-84-0,0.2
"Orange flower, bitter, CO2 extract",Farnesol,4602-84-0,6.5
"Orange flower, bitter, CO2 extract",Geraniol,106-24-1,0.45
Bergamot oil expressed,Geranial,141-27-5,0.28
Bergamot oil expressed,Geraniol,106-24-1,0.04
Bergamot oil expressed,Neral,106-26-3,0.2
"Petitgrain oil, Paraguay",Geranial,141-27-5,0.18
"Petitgrain oil, Paraguay",Geraniol,106-24-1,2.77
"Petitgrain oil, Paraguay",Methyl N-methylanthranilate,85-91-6,0.06
"Petitgrain oil, Paraguay",Neral,106-26-3,0.08
"Petitgrain oil, Paraguay",trans-trans-Farnesol,106-28-5,0.03
Tangerine oil terpenes,Geranial,141-27-5,0.02
Tangerine oil terpenes,Neral,106-26-3,0.01
Tangerine oil terpenes,Perilla aldehyde,2111-75-3,0.01
Clary sage concrete,Geraniol,106-24-1,0.2
Clary sage oil,Geraniol,106-24-1,1.2
Coriander seed oil,Geraniol,106-24-1,1.6
Eucalyptus dives oil,Geraniol,106-24-1,0.13
Helichrysum oil,Geraniol,106-24-1,0.05
Ho bark oil,Geraniol,106-24-1,0.03
Ho Leaf oil,Geraniol,106-24-1,0.4
Hop oil,Geraniol,106-24-1,0.2
Linaloe wood oil,Geraniol,106-24-1,1.0
Lovage root oil,Geraniol,106-24-1,0.92
Lovage root oil,Isoeugenol,97-54-1,0.06
Lovage root oil,l-Carvone,6485-40-1,0.02
Lovage root oil,Methyl eugenol,93-15-2,0.13
Marjoram oleoresin,Geraniol,106-24-1,0.1
Michelia alba flower oil,Geraniol,106-24-1,0.32
Michelia alba flower oil,Methyl eugenol,93-15-2,2.06
Michelia alba leaf oil,Geraniol,106-24-1,0.24
Michelia alba leaf oil,Methyl eugenol,93-15-2,0.33
Spearmint oil terpenes,Hexen-2-al,6728-26-3,0.25
Spearmint oil terpenes,l-Carvone,6485-40-1,8.51
Guaiac wood oil,Isoeugenyl acetate,93-29-8,0.12
Parsley herb oil,l-Carvone,6485-40-1,0.2
Abies alba needle oil,Longifolene,475-20-7,0.3
"Cedarwood oil, Himalaya",Longifolene,475-20-7,0.7
Hinoki leaf oil,Longifolene,475-20-7,32.0
Hinoki wood oil,Longifolene,475-20-7,0.7
Pine needle oil,Longifolene,475-20-7,0.09
"Pine, Pinus pinaster, oil",Longifolene,475-20-7,3.71
Turpentine gum,Longifolene,475-20-7,4.39
Turpentine oil,Longifolene,475-20-7,0.12
Elemi oil,Methyl eugenol,93-15-2,0.4
Elemi resinoid,Methyl eugenol,93-15-2,0.09
Mastic absolute,Methyl eugenol,93-15-2,0.01
"Orange flower oil, bitter (Neroli and Neroli bigarade)",Methyl N-formylanthranilate,41270-80-8,0.03
Mandarin oil,Methyl N-methylanthranilate,85-91-6,0.4
Cassis bud absolute,p-Isopropylbenzyl alcohol,536-60-7,0.1
"Camphor oil, brown",Safrole,94-59-7,80.0
"Camphor oil, yellow",Safrole,94-59-7,50.0
